"SSRouteID";"SidStarID";"Number";"Direction";"Radius";"SSPoints1ID";"SSPoints2ID";"SSPoints3ID";"RadioBeacon";"CurrentLength";"AltitudePoint";"UpLimit";"DownLimit";"SegmentType";"FlyOver";"TurnDirection";"DistTime";"SpeedLimit";"SpdLimDescription";"MergePoint";"ProcedureType";"DirectPointID";"RouteType";"UpdateDate"
"1";"1";"1";"0";"0";"1";"-1";"-1";"0";"5.69964810317153E-309";"189.1";"-1";"-1";"11";"1";"0";"0";"-1";"0";"0";"0";"-1";"0";"08.12.2021"
"2";"1";"2";"0";"0";"2";"-1";"-1";"0";"5.69964810317153E-309";"189.1";"-1";"-1";"11";"1";"0";"0";"-1";"0";"0";"0";"-1";"0";"08.12.2021"
"3";"1";"3";"75";"0";"3";"-1";"4";"11";"5.69964810317153E-309";"1829";"2134";"1524";"10";"0";"0";"14.985";"118.322222222222";"0";"0";"0";"-1";"0";"08.12.2021"
"4";"1";"4";"-1";"0";"3";"-1";"-1";"0";"5.69964810317153E-309";"1829";"2134";"1524";"21";"0";"0";"-1";"118.322222222222";"0";"0";"0";"-1";"0";"08.12.2021"
"5";"1";"5";"-1";"0";"5";"-1";"-1";"0";"5.69964810317153E-309";"2590.5";"2743";"2438";"11";"0";"2";"-1";"128.611111111111";"0";"0";"0";"-1";"0";"08.12.2021"
"6";"1";"6";"-1";"0";"6";"-1";"-1";"0";"5.69964810317153E-309";"3800";"3950";"3650";"11";"0";"2";"-1";"138.9";"0";"0";"0";"-1";"0";"08.12.2021"
"7";"1";"7";"-1";"0";"7";"-1";"-1";"0";"5.69964810317153E-309";"5500";"-1";"5500";"11";"0";"0";"-1";"138.9";"0";"0";"0";"-1";"0";"08.12.2021"
"8";"1";"8";"-1";"0";"8";"-1";"-1";"0";"5.69964810317153E-309";"-1";"-1";"-1";"11";"0";"0";"-1";"-1";"0";"0";"0";"-1";"0";"08.12.2021"
"9";"1";"9";"-1";"0";"9";"-1";"-1";"0";"5.69964810317153E-309";"7000";"-1";"7000";"11";"0";"0";"-1";"138.9";"0";"0";"0";"-1";"0";"08.12.2021"
"10";"1";"10";"-1";"0";"10";"-1";"-1";"0";"5.69964810317153E-309";"7900";"-1";"7900";"11";"0";"0";"-1";"138.9";"0";"0";"0";"-1";"0";"08.12.2021"
"11";"1";"11";"-1";"0";"11";"-1";"-1";"0";"5.69964810317153E-309";"8250";"-1";"8250";"11";"0";"0";"-1";"138.9";"0";"0";"0";"-1";"0";"08.12.2021"
"12";"1";"12";"-1";"0";"12";"-1";"-1";"0";"5.69964810317153E-309";"-1";"-1";"-1";"11";"0";"0";"-1";"-1";"0";"0";"0";"-1";"0";"08.12.2021"
"13";"1";"13";"-1";"0";"13";"-1";"-1";"0";"5.69964810317153E-309";"-1";"-1";"-1";"11";"0";"0";"-1";"-1";"0";"0";"0";"-1";"0";"08.12.2021"
"14";"1";"14";"-1";"0";"14";"-1";"-1";"0";"5.69964810317153E-309";"-1";"-1";"-1";"11";"0";"0";"-1";"-1";"0";"0";"0";"-1";"0";"08.12.2021"
"15";"1";"15";"-1";"0";"15";"-1";"-1";"0";"5.69964810317153E-309";"-1";"-1";"-1";"11";"0";"0";"-1";"-1";"0";"0";"0";"-1";"0";"08.12.2021"
"16";"1";"16";"-1";"0";"16";"-1";"-1";"0";"5.69964810317153E-309";"-1";"-1";"-1";"11";"0";"0";"-1";"-1";"0";"0";"0";"-1";"0";"08.12.2021"
"17";"2";"1";"0";"0";"17";"-1";"-1";"0";"5.69964810317153E-309";"188.795";"-1";"-1";"11";"1";"0";"0";"-1";"0";"0";"0";"-1";"0";"08.12.2021"
"18";"2";"2";"0";"0";"18";"-1";"-1";"0";"5.69964810317153E-309";"188.795";"-1";"-1";"11";"1";"0";"0";"-1";"0";"0";"0";"-1";"0";"08.12.2021"
"19";"2";"3";"75";"0";"3";"-1";"4";"11";"5.69964810317153E-309";"1829";"2134";"1524";"10";"0";"0";"14.985";"118.322222222222";"0";"0";"0";"-1";"0";"08.12.2021"
"20";"2";"4";"-1";"0";"3";"-1";"-1";"0";"5.69964810317153E-309";"1829";"2134";"1524";"21";"0";"0";"-1";"118.322222222222";"0";"0";"0";"-1";"0";"08.12.2021"
"21";"2";"5";"-1";"0";"5";"-1";"-1";"0";"5.69964810317153E-309";"2590.5";"2743";"2438";"11";"0";"2";"-1";"128.611111111111";"0";"0";"0";"-1";"0";"08.12.2021"
"22";"2";"6";"-1";"0";"6";"-1";"-1";"0";"5.69964810317153E-309";"3800";"3950";"3650";"11";"0";"2";"-1";"138.9";"0";"0";"0";"-1";"0";"08.12.2021"
"23";"2";"7";"-1";"0";"7";"-1";"-1";"0";"5.69964810317153E-309";"5500";"-1";"5500";"11";"0";"0";"-1";"138.9";"0";"0";"0";"-1";"0";"08.12.2021"
"24";"2";"8";"-1";"0";"8";"-1";"-1";"0";"5.69964810317153E-309";"-1";"-1";"-1";"11";"0";"0";"-1";"-1";"0";"0";"0";"-1";"0";"08.12.2021"
"25";"2";"9";"-1";"0";"9";"-1";"-1";"0";"5.69964810317153E-309";"7000";"-1";"7000";"11";"0";"0";"-1";"138.9";"0";"0";"0";"-1";"0";"08.12.2021"
"26";"2";"10";"-1";"0";"10";"-1";"-1";"0";"5.69964810317153E-309";"7900";"-1";"7900";"11";"0";"0";"-1";"138.9";"0";"0";"0";"-1";"0";"08.12.2021"
"27";"2";"11";"-1";"0";"11";"-1";"-1";"0";"5.69964810317153E-309";"8250";"-1";"8250";"11";"0";"0";"-1";"138.9";"0";"0";"0";"-1";"0";"08.12.2021"
"28";"2";"12";"-1";"0";"12";"-1";"-1";"0";"5.69964810317153E-309";"-1";"-1";"-1";"11";"0";"0";"-1";"-1";"0";"0";"0";"-1";"0";"08.12.2021"
"29";"2";"13";"-1";"0";"13";"-1";"-1";"0";"5.69964810317153E-309";"-1";"-1";"-1";"11";"0";"0";"-1";"-1";"0";"0";"0";"-1";"0";"08.12.2021"
"30";"2";"14";"-1";"0";"14";"-1";"-1";"0";"5.69964810317153E-309";"-1";"-1";"-1";"11";"0";"0";"-1";"-1";"0";"0";"0";"-1";"0";"08.12.2021"
"31";"2";"15";"-1";"0";"15";"-1";"-1";"0";"5.69964810317153E-309";"-1";"-1";"-1";"11";"0";"0";"-1";"-1";"0";"0";"0";"-1";"0";"08.12.2021"
"32";"2";"16";"-1";"0";"16";"-1";"-1";"0";"5.69964810317153E-309";"-1";"-1";"-1";"11";"0";"0";"-1";"-1";"0";"0";"0";"-1";"0";"08.12.2021"
"33";"3";"1";"0";"0";"1";"-1";"-1";"0";"5.69964810317153E-309";"189.1";"-1";"-1";"11";"1";"0";"0";"-1";"0";"0";"0";"-1";"0";"08.12.2021"
"34";"3";"2";"0";"0";"2";"-1";"-1";"0";"5.69964810317153E-309";"189.1";"-1";"-1";"11";"1";"0";"0";"-1";"0";"0";"0";"-1";"0";"08.12.2021"
"36";"3";"3";"89";"0";"20";"-1";"4";"11";"5.69964810317153E-309";"1219";"1219";"-1";"10";"0";"0";"14.985";"128.611111111111";"0";"0";"0";"-1";"0";"08.12.2021"
"37";"3";"4";"-1";"0";"20";"-1";"-1";"0";"5.69964810317153E-309";"1219";"1219";"-1";"21";"0";"0";"-1";"128.611111111111";"0";"0";"0";"-1";"0";"08.12.2021"
"38";"3";"5";"-1";"0";"21";"-1";"-1";"0";"5.69964810317153E-309";"1219";"-1";"-1";"11";"0";"0";"-1";"128.611111111111";"0";"0";"0";"-1";"0";"08.12.2021"
"39";"3";"6";"-1";"0";"5";"-1";"-1";"0";"5.69964810317153E-309";"1676.5";"1829";"1524";"11";"0";"0";"-1";"128.611111111111";"0";"0";"0";"-1";"0";"08.12.2021"
"40";"3";"7";"-1";"0";"6";"-1";"-1";"0";"5.69964810317153E-309";"-1";"-1";"-1";"11";"0";"0";"-1";"-1";"0";"0";"0";"-1";"0";"08.12.2021"
"41";"3";"8";"-1";"0";"4";"-1";"-1";"0";"5.69964810317153E-309";"-1";"-1";"-1";"11";"0";"0";"-1";"-1";"0";"0";"0";"-1";"0";"08.12.2021"
